owneruserid,userid,NbrOfVotes
0,0,6
14,0,1
21,0,2
26,0,1
36,0,1
53,0,8
59,0,1
62,0,1
63,0,2
66,0,2
75,0,1
84,0,5
88,0,1
90,0,1
95,0,1
97,0,2
108,0,6
118,0,4
122,0,5
133,0,1
136,0,2
151,0,1
157,0,1
158,0,2
189,0,1
192,0,1
194,0,1
199,0,2
200,0,3
201,0,5
227,0,2
229,0,7
250,0,1
289,0,2
322,0,1
378,0,2
381,0,4
403,0,1
418,0,1
434,0,3
474,0,1
480,0,1
496,0,1
514,0,2
534,0,1
548,0,3
609,0,1
645,0,1
676,0,1
684,0,3
691,0,2
721,0,3
793,0,2
802,0,2
816,0,1
838,0,1
839,0,2
843,0,8
847,0,1
860,0,1
867,0,1
880,0,2
886,0,1
890,0,2
906,0,1
913,0,1
917,0,1
921,0,1
924,0,1
941,0,2
960,0,2
979,0,1
986,0,2
989,0,2
994,0,1
1028,0,2
1047,0,1
1048,0,1
1077,0,1
1097,0,2
1117,0,2
1133,0,1
1138,0,1
1151,0,1
1155,0,2
1162,0,1
1207,0,1
1208,0,1
1224,0,1
1235,0,1
1240,0,1
1241,0,2
1256,0,1
1271,0,1
1272,0,1
1273,0,2
1279,0,2
1281,0,1
1284,0,1
1300,0,1
1306,0,3
1314,0,1
1315,0,1
1330,0,1
1426,0,1
2452,0,2
2454,0,1
2458,0,1
2471,0,1
2487,0,1
2489,0,2
2511,0,1
2522,0,1
2643,0,2
2661,0,1
2723,0,2
2725,0,1
2726,0,1
2750,0,1
2792,0,2
2861,0,1
2893,0,2
2958,0,1
2961,0,1
2972,0,2
2997,0,1
3024,0,2
3030,0,2
3052,0,2
3055,0,4
3057,0,1
3151,0,4
3167,0,1
3211,0,1
3281,0,2
3284,0,1
3289,0,2
3314,0,3
3336,0,1
3360,0,1
3377,0,3
3397,0,1
3411,0,1
3436,0,1
3503,0,5
3539,0,1
3550,0,1
3591,0,1
3615,0,2
4619,0,2
4705,0,1
4711,0,1
4719,0,1
4736,0,1
4800,0,2
4813,0,1
4821,0,1
4841,0,1
4889,0,1
4947,0,2
4968,0,1
5023,0,1
5041,0,3
5043,0,1
5091,0,4
5113,0,1
5132,0,1
5143,0,2
5161,0,1
5172,0,3
5199,0,1
5203,0,1
5211,0,1
5219,0,1
5273,0,1
5306,0,1
5332,0,1
5356,0,1
6451,0,1
6491,0,1
6496,0,2
6514,0,1
6558,0,1
6559,0,1
6572,0,1
6606,0,1
6622,0,2
6660,0,1
6664,0,1
7702,0,1
7712,0,1
7713,0,1
7738,0,1
7762,0,1
7763,0,1
7867,0,1
7923,0,1
7944,0,1
7980,0,1
8013,0,8
8016,0,1
8037,0,1
8074,0,1
8076,0,1
8088,0,5
8214,0,1
8224,0,1
8320,0,1
8337,0,1
8409,0,2
8505,0,1
8526,0,1
8677,0,1
8710,0,1
8800,0,1
8820,0,16
8944,0,1
8948,0,1
8960,0,2
8999,0,1
9035,0,1
9102,0,2
9105,0,1
9123,0,3
9174,0,1
9186,0,1
9257,0,1
9436,0,2
9472,0,1
9488,0,1
9540,0,1
9663,0,1
9728,0,1
9793,0,2
9801,0,1
9893,0,1
10024,0,1
10094,0,1
10127,0,1
10131,0,1
10155,0,1
10181,0,1
10255,0,1
10275,0,1
10314,0,1
10344,0,2
10345,0,1
10365,0,1
10416,0,1
10423,0,1
10462,0,1
10487,0,1
10500,0,1
10513,0,1
10560,0,1
10574,0,1
10620,0,1
10879,0,1
10899,0,1
10902,0,2
10938,0,1
10994,0,1
11034,0,1
11061,0,1
11066,0,1
11097,0,86
11124,0,1
11141,0,1
12177,0,1
12206,0,2
12294,0,1
12335,0,1
12345,0,1
12378,0,1
12384,0,2
12411,0,1
12443,0,2
12473,0,1
12515,0,1
12527,0,1
12603,0,1
12611,0,1
12771,0,1
12861,0,1
12867,0,5
12963,0,1
12983,0,1
13011,0,1
13023,0,1
13100,0,2
13106,0,1
13145,0,1
13165,0,2
13182,0,1
13285,0,2
13320,0,1
13417,0,3
13447,0,1
13481,0,2
13508,0,2
13518,0,3
13562,0,1
13686,0,1
13688,0,1
13736,0,4
13754,0,1
13770,0,1
13772,0,1
13891,0,2
13915,0,2
13943,0,1
13959,0,1
14023,0,1
14137,0,1
14154,0,1
14167,0,1
14200,0,1
14240,0,1
14267,0,1
14293,0,1
14341,0,1
14357,0,1
14360,0,2
14391,0,1
14411,0,1
14427,0,1
14434,0,2
14487,0,1
14586,0,2
14588,0,1
14642,0,1
14644,0,1
14652,0,1
14660,0,1
14675,0,1
14688,0,1
14694,0,1
14714,0,1
14716,0,1
14729,0,1
14734,0,1
14740,0,1
14758,0,1
14779,0,2
14800,0,1
14904,0,2
14906,0,2
14934,0,1
14946,0,3
14987,0,1
14994,0,1
15064,0,1
15083,0,3
15090,0,1
15115,0,1
15148,0,1
15157,0,1
15176,0,1
15187,0,1
15192,0,1
15197,0,2
15230,0,1
15324,0,1
15372,0,1
15412,0,1
15430,0,1
15464,0,2
15519,0,1
15527,0,2
15569,0,2
15656,0,1
15715,0,1
15720,0,1
15738,0,1
15756,0,1
15850,0,1
15861,0,2
15930,0,1
15933,0,1
15946,0,2
16024,0,1
16031,0,1
16129,0,2
16135,0,1
16220,0,1
16236,0,1
16266,0,1
16294,0,1
16302,0,1
16380,0,1
16511,0,1
16520,0,1
16528,0,2
16540,0,1
16612,0,1
16712,0,1
16723,0,1
16743,0,1
16753,0,1
16808,0,1
16843,0,1
17116,0,1
17177,0,1
17208,0,1
17231,0,1
17305,0,1
17310,0,3
17313,0,1
17331,0,1
17359,0,2
17381,0,1
17385,0,1
17486,0,1
17487,0,1
17497,0,1
17536,0,1
17579,0,1
17602,0,1
17614,0,1
17696,0,2
17699,0,1
17702,0,1
17784,0,1
17795,0,1
17814,0,1
17877,0,1
17987,0,1
18012,0,1
18051,0,1
18200,0,1
