UserId;OwnerUserId;NbrOfDownvotes
;32220;4
;14360;2
;29109;1
;20589;2
;11124;1
;41008;1
;41571;1
;38506;1
;12611;1
;;7
;8842;1
;13915;1
;14048;1
;13955;1
;14341;1
;11097;3
;14357;1
;14332;1
;684;1
;14391;2
;13481;1
;8820;5
;12785;1
;721;2
;13727;2
;14656;1
;3151;2
;14714;1
;64377;2
;85104;1
;87239;1
;490;2
;14757;3
;714;3
;14812;1
;14808;1
;13508;1
;14882;1
;14999;2
;14946;6
;13953;1
;14994;5
;15157;1
;15171;1
;15258;1
;837;1
;3436;2
;15261;1
;15308;1
;12882;1
;3433;1
;13457;1
;15300;1
;15595;1
;15861;1
;9105;2
;5211;1
;15946;1
;16048;1
;802;3
;16152;1
;16218;1
;16251;2
;14652;1
;3053;1
;16353;1
;8268;3
;15906;1
;16366;1
;10314;1
;9966;1
;6558;1
;16646;5
;16511;1
;843;6
;8517;3
;2861;1
;16808;1
;2987;1
;14310;1
;15140;1
;381;3
;16971;3
;16985;1
;108;1
;17049;2
;14779;1
;16310;2
;14313;1
;15933;1
;17315;3
;1011;1
;17423;1
;17355;1
;17533;1
;17601;2
;17596;2
;15569;2
;17397;1
;17485;1
;17694;1
;26;3
;11034;1
;17752;1
;15762;1
;10879;1
;10834;1
;17814;3
;17841;1
;12515;2
;10620;1
;5091;5
;36;4
;64;4
;66;3
;5;1
;104;1
;189;1
;9;2
;227;2
;199;5
;273;1
;122;8
;386;3
;434;6
;456;1
;560;1
;478;2
;514;1
;194;4
;134;1
;791;3
;158;1
;890;4
;872;1
;908;2
;84;2
;136;2
;960;8
;1021;2
;922;2
;663;1
;1015;2
;1125;3
;1127;1
;1131;3
;793;1
;728;1
;1207;1
;1208;1
;1301;1
;1097;2
;989;4
;1314;1
;2489;2
;895;1
;2600;2
;2643;2
;1117;1
;325;1
;2711;2
;941;1
;988;1
;2614;1
;2792;1
;2841;1
;609;1
;867;4
;2668;1
;3057;3
;3097;5
;2916;1
;3128;3
;3211;1
;1256;1
;979;2
;3336;1
;3586;1
;3443;1
;4705;1
;4847;1
;4717;1
;2452;2
;3106;1
;5110;1
;5083;1
;5214;2
;295;1
;5301;1
;5342;1
;3504;1
;6611;1
;3281;1
;418;1
;7972;1
;3346;1
;2928;1
;8255;1
;8320;1
;5255;1
;3390;1
;4794;1
;5224;1
;8088;1
;8762;1
;23317;1
;1399;1
;16050;2
;23565;3
;23568;2
;23495;1
;20585;3
;15961;1
;23600;1
;21392;1
;15412;2
;1281;1
;18465;1
;23403;2
;10902;8
;23940;3
;23905;2
;23921;1
;23971;1
;23850;2
;24024;1
;8149;1
;24032;2
;13518;3
;24095;2
;24108;2
;90;2
;24120;1
;24000;1
;21024;2
;24355;3
;15533;2
;24536;1
;24649;2
;21560;3
;982;1
;24871;1
;24872;2
;8710;1
;15613;3
;24964;2
;25026;1
;18819;1
;25070;2
;23811;2
;19085;1
;9483;1
;24763;1
;25161;1
;24792;1
;9314;1
;24467;3
;2647;1
;18460;1
;18139;1
;12384;2
;14011;1
;25501;2
;25618;1
;23851;1
;23714;1
;21184;1
;23240;1
;25876;4
;25915;2
;21749;1
;15527;1
;25957;4
;24742;2
;426;1
;17962;1
;25218;1
;24696;2
;26260;1
;12771;1
;8505;1
;21686;1
;25311;2
;26476;1
;26535;3
;26146;1
;816;1
;10416;1
;13132;1
;26659;1
;26761;5
;25755;1
;16548;1
;2576;1
;10094;2
;26898;3
;836;1
;26562;1
;26896;1
;26941;2
;26976;1
;9420;1
;14906;1
;21608;9
;27194;1
;27335;1
;27453;2
;21636;1
;27613;1
;27625;1
;18540;1
;13165;1
;75;1
;27776;2
;24818;1
;23800;1
;28086;3
;28092;1
;27983;1
;17116;1
;10523;1
;27231;1
;21319;2
;28437;1
;9123;2
;12202;1
;23305;1
;28182;1
;25115;1
;20497;1
;27756;1
;28628;2
;21254;4
;28938;1
;29026;1
;61261;3
;59193;1
;77162;1
;8878;1
;63654;1
;76801;2
;78059;1
;80520;1
;54509;1
;70641;1
;42354;1
;80568;2
;58743;1
;14675;3
;52664;1
;59966;1
;15897;1
;78966;1
;80685;1
;3070;1
;80832;1
;80843;1
;80982;1
;82016;2
;82030;1
;82041;2
;82126;1
;61156;1
;79728;1
;62846;1
;62479;1
;24703;1
;82303;1
;303;1
;51822;1
;53357;1
;73685;1
;82595;1
;82643;1
;78400;2
;54292;1
;82861;1
;82895;1
;82936;1
;82921;1
;82922;1
;82908;2
;52755;1
;78200;1
;60503;1
;75702;1
;83072;1
;83248;1
;83262;1
;78126;1
;30107;1
;83578;1
;80425;1
;83627;1
;31822;1
;84016;1
;84373;1
;65541;1
;84376;1
;27768;1
;84404;3
;84451;1
;83406;2
;84229;3
;78443;1
;76883;1
;10663;1
;84667;1
;84649;1
;52476;1
;1330;2
;84952;1
;24390;1
;85035;1
;73074;1
;60051;1
;61217;1
;52619;1
;51771;1
;61400;2
;59909;1
;46740;1
;60733;1
;47832;2
;61662;1
;51344;1
;53950;1
;58411;2
;61681;1
;61706;1
;45679;1
;61817;2
;45916;1
;39061;1
;45907;1
;61993;1
;62097;1
;29033;1
;1029;2
;61756;1
;62211;1
;62081;1
;61952;1
;58196;1
;62076;1
;62202;2
;51125;1
;61378;1
;43692;1
;46279;1
;56641;1
;62423;1
;41828;1
;37330;2
;62673;1
;53872;1
;62368;1
;53453;1
;50863;1
;35644;5
;62077;1
;43294;1
;61118;1
;30006;3
;57779;1
;63103;1
;49461;2
;17696;1
;58736;1
;37986;1
;62386;5
;62469;1
;60954;1
;63360;1
;50406;4
;44456;1
;63602;2
;63237;1
;17844;1
;3473;1
;27741;1
;4683;1
;62610;1
;50478;1
;59073;1
;63867;1
;41206;1
;63955;1
;64126;1
;50833;1
;64194;1
;54024;1
;62725;1
;58887;1
;64389;1
;28175;5
;46605;1
;3085;1
;64549;1
;64543;1
;62052;1
;64593;2
;53169;1
;51129;1
;61418;1
;33202;1
;64619;2
;64669;1
;64652;1
;61790;1
;64500;1
;64643;1
;64797;1
;64895;1
;42821;1
;64294;1
;64758;1
;63631;1
;65076;2
;63718;2
;22039;1
;20618;4
;65131;2
;924;1
;62926;1
;65330;1
;31513;3
;30212;2
;32148;1
;32196;2
;32198;1
;14904;1
;32164;1
;29204;1
;32153;1
;10810;1
;13736;3
;18501;1
;32042;1
;20524;1
;4968;2
;32259;1
;32262;1
;20374;1
;10975;1
;31434;4
;32292;1
;32307;1
;25560;1
;32311;1
;32280;1
;32343;1
;32360;1
;25429;1
;32367;3
;29801;1
;32374;1
;31424;1
;19212;1
;31322;1
;32433;1
;27966;1
;28977;1
;16764;1
;32459;1
;32490;1
;15624;1
;31418;1
;32510;1
;32169;1
;32508;1
;32248;1
;32554;1
;32602;1
;28980;1
;32623;1
;26856;2
;32690;1
;32726;1
;32757;2
;27403;1
;32791;1
;32795;1
;32936;1
;27347;1
;23733;1
;33018;1
;31599;2
;33199;1
;33230;1
;33221;1
;33238;1
;20407;1
;30048;1
;33658;1
;8704;1
;33281;1
;33838;5
;33967;1
;34213;1
;34270;1
;33110;1
;32402;1
;9943;1
;34324;1
;24899;1
;34017;1
;33453;2
;35579;1
;35697;1
;35738;1
;24119;3
;33171;2
;27616;1
;776;1
;35597;1
;35746;1
;29580;1
;35829;1
;2862;1
;32535;1
;35795;1
;35420;1
;31135;1
;33763;1
;22012;1
;30464;1
;35549;1
;33137;3
;37063;1
;37059;1
;37022;1
;37109;2
;37108;1
;37128;1
;33831;1
;37132;1
;36935;1
;37149;1
;35902;1
;13100;1
;37187;3
;37186;1
;14301;1
;27226;1
;37164;1
;37169;1
;25935;1
;37200;1
;31092;1
;31399;1
;33905;1
;37196;1
;25136;1
;37221;1
;723;1
;12206;1
;21980;1
;32770;1
;32172;1
;37278;1
;37289;1
;32835;1
;13235;1
;37288;1
;34052;1
;34053;1
;34006;1
;32854;1
;32856;1
;37324;2
;34036;1
;12294;1
;37301;3
;8013;1
;33603;3
;21471;2
;29587;3
;37406;1
;8214;1
;37395;2
;32918;1
;37432;1
;35449;1
;33386;1
;26444;1
;37471;1
;37460;1
;31696;1
;37484;1
;26596;1
;37507;1
;8432;1
;37549;1
;37548;3
;35917;1
;20766;1
;23437;1
;32686;1
;37590;1
;33176;1
;27645;1
;33907;1
;35930;2
;37626;1
;37747;1
;37727;2
;37760;1
;37604;1
;20327;2
;37770;1
;37761;1
;32860;1
;30339;1
;31484;1
;3314;1
;33701;3
;31456;1
;31086;1
;17959;3
;38063;1
;38118;1
;21503;1
;32637;1
;38361;1
;25766;1
;27873;1
;37983;1
;38327;1
;30043;1
;38395;2
;32963;1
;27976;1
;38426;1
;3503;1
;38436;2
;38446;1
;21938;1
;33020;1
;38429;1
;38438;1
;38467;1
;17484;1
;38466;2
;38492;3
;30473;1
;21896;1
;18418;1
;27916;1
;38460;2
;29298;1
;31595;1
;15850;1
;33954;1
;38550;2
;38477;1
;30397;1
;38576;1
;38566;1
;38579;1
;32882;1
;38584;1
;38637;1
;38630;1
;37217;2
;4841;1
;38589;1
;33886;1
;33001;1
;47557;1
;28482;1
;39331;2
;32429;1
;45750;1
;47816;1
;47924;2
;47929;1
;47958;1
;43406;1
;31154;1
;45221;1
;8560;2
;45191;1
;16879;1
;49127;1
;25696;1
;33245;2
;43878;1
;40515;2
;43455;2
;28129;1
;49583;1
;49544;1
;49899;1
;47212;1
;47867;1
;37113;1
;49731;1
;46055;2
;49914;3
;50077;5
;32116;1
;40370;1
;50192;2
;50162;1
;50269;2
;45262;2
;50315;4
;47442;1
;26882;1
;50146;3
;43077;1
;44044;1
;50365;1
;37736;1
;50405;1
;50403;1
;47561;1
;47676;1
;50394;1
;42889;1
;41688;1
;50449;2
;26907;1
;50471;1
;41350;2
;50528;2
;50211;1
;44299;1
;50514;1
;44477;1
;24885;1
;50544;2
;50570;2
;50563;1
;50603;1
;44114;1
;49105;1
;50634;1
;50638;1
;50664;1
;50532;1
;43732;1
;35679;1
;50746;1
;39820;1
;10548;1
;49104;1
;50815;2
;50820;1
;50869;1
;40162;1
;50928;1
