UserId;OwnerUserId;NbrOfFavoritevotes
41478;9988;1
41479;2653;1
29781;32220;1
40827;15664;1
29781;38744;1
29781;26163;1
29781;2661;1
41478;8944;1
16079;37548;1
29781;8944;1
31219;41460;1
31219;6465;1
41260;793;1
39517;33386;1
28821;12202;1
41514;16031;1
41514;10943;1
39149;30227;1
41564;8409;1
41567;29415;1
41573;27854;1
9211;8820;1
29781;2723;1
27830;20544;1
9812;434;1
13805;97;1
13844;989;1
2723;2723;8
13843;10314;1
13843;434;1
13145;2723;1
13871;3167;1
13904;895;1
2781;157;1
13123;13905;1
8338;13905;1
13562;1097;1
10620;13891;1
13123;3024;1
13942;378;1
13920;84;1
13920;12364;1
5177;13891;1
13901;793;2
10273;496;1
7705;2723;1
7705;227;1
10620;13959;1
7705;10994;1
545;13959;1
11097;11097;8
10620;13915;1
10620;13978;1
413;13919;1
13220;989;1
11097;14029;1
13625;13625;2
10620;10683;1
14045;227;1
10620;14044;1
10620;3615;1
14069;10102;1
10620;13481;1
12363;14029;1
13123;5143;1
13123;989;1
13123;1117;1
13123;2489;1
673;13959;1
14103;11110;1
13220;456;1
14109;989;1
14109;322;1
14109;158;2
14109;122;1
12363;3211;1
14122;456;1
633;4910;1
633;12527;1
633;5091;5
633;1047;1
633;8013;1
8943;5091;1
6408;157;1
10620;13056;1
10845;3167;1
8413;989;1
6408;2723;1
8413;890;1
8413;136;1
8413;721;1
8413;13562;1
8413;9941;1
8413;11097;1
10593;989;1
14190;8221;1
13922;10938;1
5177;14167;1
3327;9747;1
11097;11074;1
13360;989;1
13220;3327;1
14167;14167;1
10204;14167;1
10204;1151;1
10814;14240;1
11097;14240;1
10814;11097;1
12363;11097;1
14245;9052;1
13123;14240;1
13123;11097;3
13123;10560;1
13123;3030;1
9512;2723;1
9169;11097;1
11097;989;1
14244;11097;1
13901;5316;1
11097;3550;1
78;11097;1
10620;5246;1
266;11097;1
605;11097;1
14300;11097;1
14301;11097;1
150;11097;1
10620;11097;1
10620;14200;2
5177;14200;1
8471;11097;1
10389;3510;1
2593;11097;1
673;11097;1
14336;11097;1
14362;11097;1
14365;14332;1
11097;5143;1
7922;2972;1
2576;9052;1
8820;8820;1
7922;11097;1
10620;3151;1
14389;11097;1
14390;8820;2
13667;14393;1
14399;201;1
8028;14200;1
13481;13481;2
13901;989;1
8774;5203;1
11097;5091;1
5179;10694;1
14451;14240;1
14458;8774;1
3377;11124;1
4906;989;1
11097;14384;1
9637;8774;1
13248;2653;1
10620;13155;1
14494;989;1
10620;14531;1
10620;14525;2
9123;8774;1
13123;136;1
13123;890;1
10620;14556;1
673;12473;1
10620;9793;1
9519;989;1
7950;84;1
10620;10395;1
14602;14240;1
13220;322;1
3044;843;1
843;843;4
11097;843;1
14617;989;1
12490;14427;1
10620;2452;1
10834;2489;1
13562;14641;1
13123;14656;1
13023;173;1
10620;14427;1
13023;3044;1
10620;14644;1
3085;11097;1
13011;158;1
6529;14698;1
6529;14660;1
11097;14586;1
9675;227;1
9675;989;1
14703;378;1
836;14586;1
13100;2723;1
14707;14392;1
10620;14665;1
6529;14566;1
10517;11097;1
85045;15180;1
68318;68318;1
86146;76702;1
63096;57006;1
3057;;1
867;50727;1
79722;45766;1
87263;24119;1
14560;74045;1
51388;11097;1
82566;227;1
50727;87270;1
60424;20618;1
75599;46740;1
37098;5257;1
84602;15180;1
64465;1151;1
14560;61445;1
87109;87284;1
85556;9011;1
14582;10462;1
13100;44044;1
13100;30693;1
87109;62938;1
27731;895;1
13123;14586;1
9225;9225;1
14736;434;1
11097;8820;3
836;8820;1
13433;12206;1
10620;14763;1
10620;14758;1
14572;14729;1
843;13736;1
14813;2916;1
1301;1301;1
14197;989;1
10620;6465;1
543;26;1
5250;12983;1
14863;227;1
14863;84;1
14864;8960;1
14865;8960;1
13012;12613;1
14867;8960;1
10746;14885;1
13220;9663;1
3077;1301;1
14890;227;1
14890;84;1
14896;838;1
11097;14900;1
11097;14898;1
14604;14604;1
14753;989;1
10620;11116;1
10620;5029;1
8612;5342;1
14895;14910;1
14895;10915;1
14470;11097;1
14941;8643;1
11097;1406;1
13123;10879;1
6529;14909;1
13248;14885;1
14458;10879;1
3044;3044;1
843;3044;1
14990;989;1
8471;14885;1
6529;14999;1
3044;12983;1
77;1406;1
15004;426;1
10620;14999;1
13145;14525;1
4853;12183;1
15023;1097;1
6529;12438;1
14713;227;1
6529;227;1
10620;14989;1
11097;227;1
6396;227;1
10834;227;1
10620;6611;1
15058;158;1
15071;227;1
11097;97;1
108;97;1
97;97;3
15086;97;1
15090;989;1
10620;15083;1
15109;1406;1
15109;8357;1
15109;3314;1
15109;3159;1
15116;13023;1
10620;8820;1
15120;5203;1
13220;14357;1
15122;989;1
15122;97;1
14994;227;1
15125;14586;1
14915;989;1
14915;7966;1
14915;847;1
15149;1097;1
15159;15157;1
15166;2723;1
15106;989;1
9637;8820;1
8820;15182;1
14117;97;1
15199;2723;1
836;15197;1
11097;8960;1
15216;989;1
11097;8774;1
13220;15180;1
14598;11097;1
11097;3615;1
11097;15182;1
15197;14946;1
812;6465;1
15197;663;1
15197;14240;1
8820;14357;2
15255;12356;1
15266;14789;1
14981;8960;1
15287;10846;1
8028;12378;1
9992;9225;1
9992;3058;1
15292;793;1
6529;14829;1
15292;14904;1
15303;15192;1
14293;158;1
15306;10846;1
15306;9521;1
837;837;1
15325;989;1
15341;2958;1
1244;15115;1
14913;15356;1
15356;15356;1
14707;11044;1
2932;989;1
8820;15315;1
15368;1131;1
15376;8960;1
14326;793;1
15376;97;1
10620;14789;1
11097;15356;1
15372;15372;1
14707;9637;1
14602;15180;1
13922;11044;1
13922;15325;1
14644;1151;1
14602;15410;1
3044;15372;1
13669;15303;1
13669;11044;1
15447;2916;1
6529;10694;1
8222;8820;1
15478;1097;1
15478;3615;1
15483;;1
1059;8820;1
2525;8820;1
15487;3466;1
10620;14740;1
10620;13953;1
15502;8820;1
6464;10846;1
14602;8820;1
15514;15372;1
6529;8820;1
13023;13023;2
2544;8820;1
6529;15519;1
6385;8820;1
15520;8820;1
15525;8820;1
10517;8820;1
13809;13809;2
15540;8820;1
13809;8820;1
15512;227;1
6529;13736;1
13901;1387;1
15566;1315;1
8820;13809;1
11097;15519;1
10620;9618;1
15601;989;1
6518;802;1
11056;15604;1
15403;13384;1
15368;13809;1
15402;15402;1
6529;15613;2
15641;4620;1
10620;15609;1
15649;7722;1
6529;9663;1
14915;1406;1
11097;173;1
11097;12801;1
10620;13593;1
10620;9663;1
6529;15663;1
15363;14925;1
15363;5203;1
15363;97;1
15527;9663;1
11097;802;1
8384;663;1
8384;1047;1
8384;84;1
6529;13000;1
15527;15664;1
