OwnerUserId;UserId;NbrOfLinks
158;179;1
158;136;1
839;227;1
84;227;1
960;84;1
1240;97;1
1117;2489;1
1192;227;1
728;157;1
2533;2661;1
1281;2643;1
1242;802;1
97;403;1
3336;97;1
3057;1117;1
3057;2489;1
3530;1241;1
4794;2725;1
3466;157;1
3466;1131;1
6536;5342;1
295;5246;1
4800;895;1
4800;2861;1
4800;6469;1
7715;474;1
3550;2489;1
6560;5143;1
7909;2725;1
5203;802;1
5203;1242;1
5203;97;1
8009;192;1
8037;227;1
8074;434;1
8074;97;1
7887;2489;1
7887;895;1
7887;2725;1
4717;2452;1
4887;8357;1
8686;6469;1
2723;895;1
8774;158;1
3314;802;1
8953;84;1
4947;136;1
4947;7923;1
3314;8357;1
9219;2725;1
9219;3346;1
9219;8860;1
9362;8643;1
9534;684;1
982;6469;1
9534;8016;1
9486;895;1
8218;192;1
8218;5316;1
9591;4717;1
7922;5203;1
9699;434;1
9699;663;1
9699;66;1
9699;199;1
9699;386;1
9699;1117;1
9699;2489;1
9699;3550;1
9799;9771;1
8338;7999;1
10085;6536;1
10416;97;1
10085;5342;2
10123;2643;1
1406;8357;1
3159;1406;1
843;11072;1
12381;5369;1
12381;1207;1
12516;10879;1
10836;2790;1
10836;322;1
12333;88;1
12776;8344;1
12867;895;1
12867;2861;1
12867;1131;1
8013;97;1
13132;12801;1
13132;88;1
9304;84;1
843;12613;1
12527;2861;1
3024;2661;1
3024;97;1
3024;403;1
3024;802;1
3024;8013;1
13778;12747;1
12611;3151;1
13891;13155;1
14029;3024;1
122;13155;1
14200;2661;1
4619;14167;1
14427;11124;1
13625;989;1
8206;13385;1
14714;14240;1
12533;97;1
543;26;2
8960;14240;1
14898;989;1
9035;11097;1
10879;8960;1
2643;3466;1
13625;14112;1
15176;11097;1
15187;8016;1
15197;11097;2
15197;14240;1
15197;8960;1
1272;8820;1
15686;12801;1
15664;1151;1
15861;15735;1
15946;15861;1
13046;14112;1
15906;9003;1
16542;1117;1
15613;4676;1
1133;15984;1
12527;13648;1
12527;8774;1
12527;5203;1
16816;17618;1
17814;14656;1
18139;2653;1
18098;97;1
17310;793;1
18721;15613;1
10345;13027;1
13891;2661;1
18951;16683;1
18744;14989;1
13450;97;1
13450;5203;1
20517;2916;1
20582;19161;1
18369;12314;1
20635;12345;1
20585;17313;2
20585;12557;1
18919;21090;1
18919;15984;1
4933;18919;1
20884;13132;1
6558;2647;1
12411;2647;1
21291;20585;1
21341;12557;1
21478;11141;1
19147;227;1
21625;15192;2
21691;989;1
21707;11124;1
21707;14044;1
21750;21291;1
20290;136;1
9724;21707;1
21881;17814;1
20926;17565;1
20926;8344;1
2504;13154;1
23138;5043;1
23198;97;1
23198;16679;2
23304;9637;1
23330;10114;1
20974;21291;1
23496;13100;1
1097;8820;2
23574;1151;1
23640;18632;1
20517;23198;1
24053;9445;2
24303;8960;1
24392;23262;1
20392;1406;1
24871;17359;1
24930;97;1
24980;9771;1
24980;663;1
23811;23714;1
25129;13450;1
18460;3615;1
20618;8820;1
25891;843;1
1151;9053;1
8820;793;1
21464;24792;1
21384;4968;1
26350;15064;1
10396;8820;1
13527;21560;1
26575;3167;1
25004;23201;1
26856;9793;1
27002;26797;1
25800;5184;1
17267;102;1
26019;843;1
12515;8820;1
26214;21024;1
8820;13686;1
27974;97;1
6514;13087;1
27714;11097;1
13736;24885;1
28450;12858;1
28669;3591;2
21560;28384;1
28922;8820;1
28941;18207;1
28941;295;1
29073;28887;1
29315;28941;1
29204;26163;1
29428;158;1
27559;5184;1
26719;27559;1
29190;26163;1
29639;21560;1
29204;25867;1
30012;18843;1
29891;13736;1
30210;8820;1
30149;28941;1
30261;136;1
25867;2504;1
30355;30170;1
30597;5103;1
30759;12663;1
29891;10938;1
31322;97;1
31723;13686;2
32011;793;1
31948;8560;1
32071;30392;1
9992;11082;1
2533;14357;1
20524;25915;1
20524;895;1
31610;8820;1
32307;17404;1
32343;21560;1
32521;1138;1
32602;16683;1
15624;1138;1
32669;15984;1
29428;21560;1
32628;3615;1
32628;15303;1
32628;5279;1
32628;1138;1
33130;33005;1
32908;793;1
33603;16179;1
32667;11141;1
33728;14360;1
33828;212;1
31456;15735;1
33947;2790;1
31093;88;1
24077;8820;1
27616;17484;1
27526;27607;1
33777;8944;1
35383;24526;1
30459;3108;1
32989;27607;1
34017;24119;1
31434;30056;1
26125;14200;1
12859;35795;1
35829;35563;1
10396;33338;1
28138;14009;1
32192;26800;1
37054;20298;1
37225;20800;1
37225;2854;1
33171;13450;2
35644;15664;2
37804;21560;1
15533;25289;1
34165;28384;1
34165;5143;1
34165;32357;1
15738;26800;2
26800;15738;1
15738;20544;1
38089;11097;1
38107;11124;1
33160;31599;1
15664;34165;1
38308;14434;1
34037;31599;1
18418;8820;1
38395;906;1
38429;11097;1
38395;37986;1
32762;17772;2
38395;33838;1
37301;10462;2
38791;35738;1
17310;17305;1
13736;34184;1
39468;20926;1
25766;38395;1
39661;15192;1
28175;26477;1
28175;793;1
39929;836;1
21638;97;1
33838;17120;1
40343;21690;1
40720;17752;1
8820;8338;2
21254;28251;1
21254;15613;1
39014;30238;1
41155;3539;1
41204;28175;1
31990;97;1
41318;28291;2
40801;39331;1
15024;8820;1
32220;2661;1
29109;20544;1
3360;2653;1
21690;16683;2
37648;26797;1
5091;97;2
41658;28175;1
41726;13736;1
41750;5043;1
41490;2854;2
39331;5043;1
14904;32280;1
42220;3167;1
37736;8820;1
42622;26659;1
42535;28175;1
42840;5184;1
42945;8820;1
26853;33349;1
43243;25188;1
43330;8517;1
10640;836;1
43473;18011;1
21560;28175;1
43532;9465;1
43532;28175;2
43077;42255;1
43645;8820;1
28175;8820;1
43706;14434;1
13518;10462;1
43744;14360;1
43656;28175;1
43656;41658;1
23492;40665;1
28175;43677;1
42953;10640;1
26202;40653;1
43962;33386;1
44143;16148;2
31603;37544;1
44319;33386;1
44319;39661;1
40687;28175;1
43656;802;1
16807;793;1
16807;28175;1
24119;11097;1
44461;43769;1
44461;39331;1
41557;21560;1
32083;26329;1
43870;30238;1
39854;27330;1
44464;44319;1
44354;227;1
44654;13736;1
44683;10522;1
26214;28175;1
16853;16368;1
21254;15115;1
44861;97;1
35644;27330;1
39547;40426;1
41156;28175;1
44271;27330;1
44271;39854;1
44680;17310;2
44610;37406;1
23240;2750;1
44610;27330;1
44610;39854;1
43472;13023;1
15325;27330;1
41557;6418;1
45269;33338;1
45385;27330;1
45385;39854;1
43110;8338;1
43110;23600;1
42681;41108;1
42681;43141;1
11097;14112;1
45527;12515;1
32860;13809;1
43077;13686;2
44886;122;1
24404;45698;1
28175;1426;1
45515;28175;1
45721;39854;1
45033;2790;1
27108;13450;1
45872;45136;1
45892;45766;1
45907;28175;1
12496;13518;1
27526;27330;1
46129;30459;1
46129;3108;1
46120;32916;1
46120;31260;1
44701;45136;1
44701;45872;1
46190;32916;1
46190;31260;1
13518;12496;1
46356;12496;1
13515;39661;1
46433;21691;1
46293;236;1
46522;46288;1
46567;39854;1
46640;28175;1
32288;27330;1
32288;39854;1
44950;35399;1
46703;28175;1
14434;14895;1
46374;42205;1
39830;12496;1
45821;45494;1
32288;45898;1
21707;42781;1
47110;5203;1
41658;13237;1
44256;44477;1
37822;32288;1
16050;29428;1
47474;28175;1
47359;13237;1
47432;39854;1
44044;32288;1
45519;41750;1
45519;39331;2
45519;39830;2
32288;122;1
47693;26800;1
39331;47359;1
46754;13596;1
47473;32288;1
10548;27330;1
49049;29801;1
49105;5246;1
49105;23440;1
37822;28175;1
2893;836;1
40162;40180;1
49290;28175;1
49290;41658;1
43878;35544;1
38506;27330;1
38506;21560;1
44660;47288;1
47359;39854;2
49354;49154;1
46800;12473;1
18434;28175;2
37776;45136;1
37113;2507;1
39830;25867;1
49700;28544;1
40891;42069;1
49700;39661;1
49700;10522;1
50352;39477;1
47442;45892;1
45581;16024;1
50515;40426;1
50563;40426;1
50641;49861;1
50638;27916;1
