owneruserid,userid,NbrOfComments
,,78
,17,1
,21,3
,381,3
,471,1
,497,1
,836,3
,843,1
,924,1
,964,1
,1097,1
,1151,1
,1387,8
,2452,1
,3151,1
,3466,2
,4621,2
,6527,1
,7848,1
,8432,1
,8798,1
,9079,1
,9123,1
,9296,1
,9325,1
,9483,1
,11096,1
,11097,2
,12345,3
,12473,2
,12963,1
,13417,1
,13562,1
,13714,2
,13735,2
,13778,1
,14009,1
,14332,1
,14588,1
,14647,1
,14715,1
,15412,1
,15527,1
,15569,1
,16368,1
,16853,3
,17290,1
,17305,1
,18544,1
,25755,1
,27432,2
,27983,3
,28175,4
,28198,1
,29575,1
,29587,1
,29886,1
,30406,1
,31135,2
,32230,1
,32508,1
,32669,2
,33838,1
,38887,1
,39116,1
,39651,1
,41071,1
,44377,1
,49524,1
,49538,1
,50315,1
,50805,1
,50917,1
,51129,1
,51486,1
,51714,1
,52089,1
,52109,1
,54060,1
,54143,1
,54992,3
,55055,2
,55108,1
,55122,3
,57129,4
,57453,8
,57721,3
,62114,1
,63237,1
,64076,1
,64377,1
,65131,1
,65655,1
,67183,1
,68325,1
,71442,4
,79000,1
,79227,3
,82167,1
,82382,1
,83148,1
,83275,1
,85398,2
,89213,4
5,34,1
9,84,1
9,157,1
9,6391,1
9,13686,1
11,61762,1
14,14,11
14,92,1
14,554,1
14,1155,1
14,3571,3
14,7763,1
14,18481,1
14,21748,1
17,87683,1
21,,1
21,21,28
21,41,1
21,63,1
21,84,2
21,92,1
21,113,1
21,116,3
21,189,1
21,249,1
21,339,3
21,381,1
21,426,1
21,609,1
21,643,1
21,676,1
21,836,1
21,924,2
21,1003,1
21,1156,1
21,1235,2
21,2452,2
21,2458,1
21,2723,1
21,3436,2
21,3459,1
21,3466,1
21,4668,1
21,4717,1
21,5095,1
21,5172,1
21,6644,2
21,7713,1
21,7923,1
21,9314,1
21,9774,1
21,10701,1
21,10940,2
21,12167,1
21,12457,1
21,14031,1
21,14391,1
21,16263,1
21,17344,1
21,17596,1
21,20873,1
21,21082,1
21,23383,1
21,24895,1
21,25824,1
21,26141,2
21,26941,1
21,33166,1
21,37059,2
21,37921,3
21,38306,1
21,38584,1
21,40265,1
21,49914,1
21,50833,1
21,51969,1
21,57526,1
21,58750,1
21,63096,1
21,63188,1
21,64985,1
21,67437,2
21,67471,3
21,68025,2
21,69436,1
21,73546,1
21,79887,1
21,88518,1
21,88646,1
21,89849,1
21,90153,1
22,24,1
24,3506,1
26,,1
26,26,1
26,178,1
26,249,1
26,322,1
26,403,1
26,836,2
26,8098,1
26,8410,1
26,9085,1
26,10220,2
26,11141,1
26,12516,1
26,33202,1
26,50681,1
26,52273,1
36,36,3
36,51,1
36,66,1
36,158,1
36,609,1
36,1279,2
59,59,4
59,156,1
59,295,3
59,413,1
59,434,1
59,957,1
59,13023,1
62,62,1
62,108,1
62,151,1
62,322,1
62,434,2
62,1155,1
64,51,1
66,53,1
70,200,1
71,92,1
71,159,1
75,75,12
75,847,2
75,1367,1
75,4676,1
75,5247,1
75,6550,1
75,9461,3
75,9793,1
75,18744,1
75,20448,1
75,25936,1
75,27250,1
75,52213,1
75,86029,2
77,77,4
77,12384,1
77,14310,1
77,14675,2
77,16853,1
77,23380,1
77,38379,1
82,82,2
82,434,1
82,16024,2
82,20492,1
82,23305,2
82,33202,2
82,33701,1
82,51714,1
84,84,10
84,115,1
84,146,3
84,189,1
84,227,1
84,322,2
84,471,1
84,743,1
84,869,6
84,1156,1
84,2723,1
84,6478,1
84,6550,1
84,9237,1
84,21825,1
84,27432,1
88,115,1
88,836,1
90,21,1
90,90,3
90,4621,3
90,7720,1
90,8127,1
90,9123,1
90,14925,1
90,17208,1
90,20642,1
92,92,4
92,116,1
92,173,1
92,212,1
92,1138,1
92,3294,1
95,,1
95,95,3
95,322,2
95,381,1
95,2452,1
96,70,1
97,,1
97,21,1
97,84,1
97,97,10
97,173,1
97,227,1
97,609,1
97,710,1
97,843,1
97,924,1
97,1003,1
97,1127,1
97,1138,1
97,1279,1
97,2452,2
97,3294,2
97,5091,1
97,8013,1
97,8074,1
97,8088,3
97,9457,1
97,9810,1
97,12909,2
97,13000,2
97,13778,1
97,39524,1
97,50468,1
97,55122,1
102,,1
106,106,1
106,3510,1
108,84,1
108,108,6
108,133,1
108,229,2
108,275,2
108,297,1
108,375,1
108,924,2
108,2723,1
108,4803,1
108,9123,1
108,9420,1
108,9497,1
108,9714,1
108,10620,1
108,11097,1
108,14518,1
108,14789,1
108,14946,2
108,15325,1
108,15768,4
108,16597,1
108,16853,1
108,18699,1
108,24053,1
108,25984,1
108,30962,1
108,55122,1
108,60105,1
108,69644,1
108,71219,1
108,71918,1
113,31,1
113,92,2
113,113,3
113,156,2
115,115,3
115,457,2
115,7784,1
115,18481,1
115,18544,1
118,43,1
118,118,2
118,120,2
118,200,1
119,63,1
122,122,8
122,227,1
122,343,1
122,471,1
122,836,3
122,910,1
122,2452,2
122,7848,1
122,17777,1
122,23614,1
122,51362,1
133,113,1
133,133,3
133,381,1
133,14372,1
133,16853,1
133,18399,1
133,26841,1
133,52719,1
134,134,1
134,471,1
136,92,1
136,136,1
136,847,1
141,141,2
141,71442,2
151,471,1
151,2452,1
154,154,1
154,1279,1
156,156,5
156,53694,4
156,67328,1
157,116,1
157,146,1
158,21,2
158,59,1
158,84,1
158,115,1
158,118,1
158,157,1
