owneruserid,userid,NbrOfVotes
0,0,7
5,0,1
9,0,2
26,0,3
36,0,4
64,0,4
66,0,3
75,0,1
84,0,2
90,0,2
104,0,1
108,0,1
122,0,8
134,0,1
136,0,2
158,0,1
189,0,1
194,0,4
199,0,5
227,0,2
273,0,1
295,0,1
303,0,1
325,0,1
381,0,3
386,0,3
418,0,1
426,0,1
434,0,6
456,0,1
478,0,2
490,0,2
514,0,1
560,0,1
609,0,1
663,0,1
684,0,1
714,0,3
721,0,2
723,0,1
728,0,1
776,0,1
791,0,3
793,0,1
802,0,3
816,0,1
836,0,1
837,0,1
843,0,6
867,0,4
872,0,1
890,0,4
895,0,1
908,0,2
922,0,2
924,0,1
941,0,1
960,0,8
979,0,2
982,0,1
988,0,1
989,0,4
1011,0,1
1015,0,2
1021,0,2
1029,0,2
1097,0,2
1117,0,1
1125,0,3
1127,0,1
1131,0,3
1207,0,1
1208,0,1
1256,0,1
1281,0,1
1301,0,1
1314,0,1
1330,0,2
1399,0,1
2452,0,2
2489,0,2
2576,0,1
2600,0,2
2614,0,1
2643,0,2
2647,0,1
2668,0,1
2711,0,2
2792,0,1
2841,0,1
2861,0,1
2862,0,1
2916,0,1
2928,0,1
2987,0,1
3053,0,1
3057,0,3
3070,0,1
3085,0,1
3097,0,5
3106,0,1
3128,0,3
3151,0,2
3211,0,1
3281,0,1
3314,0,1
3336,0,1
3346,0,1
3390,0,1
3433,0,1
3436,0,2
3443,0,1
3473,0,1
3503,0,1
3504,0,1
3586,0,1
4683,0,1
4705,0,1
4717,0,1
4794,0,1
4841,0,1
4847,0,1
4968,0,2
5083,0,1
5091,0,5
5110,0,1
5211,0,1
5214,0,2
5224,0,1
5255,0,1
5301,0,1
5342,0,1
6558,0,1
6611,0,1
7972,0,1
8013,0,1
8088,0,1
8149,0,1
8214,0,1
8255,0,1
8268,0,3
8320,0,1
8432,0,1
8505,0,1
8517,0,3
8560,0,2
8704,0,1
8710,0,1
8762,0,1
8820,0,5
8842,0,1
8878,0,1
9105,0,2
9123,0,2
9314,0,1
9420,0,1
9483,0,1
9943,0,1
9966,0,1
10094,0,2
10314,0,1
10416,0,1
10523,0,1
10548,0,1
10620,0,1
10663,0,1
10810,0,1
10834,0,1
10879,0,1
10902,0,8
10975,0,1
11034,0,1
11097,0,3
11124,0,1
12202,0,1
12206,0,1
12294,0,1
12384,0,2
12515,0,2
12611,0,1
12771,0,1
12785,0,1
12882,0,1
13100,0,1
13132,0,1
13165,0,1
13235,0,1
13457,0,1
13481,0,1
13508,0,1
13518,0,3
13727,0,2
13736,0,3
13915,0,1
13953,0,1
13955,0,1
14011,0,1
14048,0,1
14301,0,1
14310,0,1
14313,0,1
14332,0,1
14341,0,1
14357,0,1
14360,0,2
14391,0,2
14652,0,1
14656,0,1
14675,0,3
14714,0,1
14757,0,3
14779,0,1
14808,0,1
14812,0,1
14882,0,1
14904,0,1
14906,0,1
14946,0,6
14994,0,5
14999,0,2
15140,0,1
15157,0,1
15171,0,1
15258,0,1
15261,0,1
15300,0,1
15308,0,1
15412,0,2
15527,0,1
15533,0,2
15569,0,2
15595,0,1
15613,0,3
15624,0,1
15762,0,1
15850,0,1
15861,0,1
15897,0,1
15906,0,1
15933,0,1
15946,0,1
15961,0,1
16048,0,1
16050,0,2
16152,0,1
16218,0,1
16251,0,2
16310,0,2
16353,0,1
16366,0,1
16511,0,1
16548,0,1
16646,0,5
16764,0,1
16808,0,1
16879,0,1
16971,0,3
16985,0,1
