owneruserid,userid,NbrOfVotes
0,3057,1
0,3245,1
0,5279,1
0,6422,1
0,6467,1
0,6557,1
0,12844,1
0,14560,2
0,15412,1
0,15483,1
0,23803,1
0,24733,1
0,31704,1
0,33376,1
0,50466,1
0,57090,1
0,57434,1
0,62264,1
0,64588,1
0,70169,1
0,70921,1
0,71246,1
5,54,1
11,43473,1
11,57898,1
11,61771,1
26,159,1
26,543,1
26,2455,1
26,3040,1
26,5103,1
26,10101,1
26,10620,1
26,13220,1
26,20327,1
26,21867,1
26,23523,1
26,28225,1
26,28603,1
26,31219,1
26,51094,1
26,67584,1
26,80741,1
36,111,1
36,3432,1
36,3508,1
66,1140,1
66,9174,1
66,17633,1
71,24733,1
77,14360,1
77,28328,1
84,84,1
84,723,1
84,743,1
84,846,1
84,935,1
84,1034,1
84,2457,1
84,4742,1
84,4846,1
84,5243,1
84,5250,1
84,5255,1
84,6576,1
84,7950,1
84,8384,1
84,13920,1
84,14863,1
84,14890,1
84,16027,1
84,16820,1
84,16898,1
84,26596,1
84,26755,1
84,28987,1
84,31513,1
84,50305,1
84,52480,1
84,61023,1
84,84974,1
88,454,1
88,633,1
88,812,1
88,5246,1
88,5250,1
88,5374,1
88,6567,1
88,14904,1
88,16083,1
88,17177,1
88,23803,1
88,25217,1
88,35490,1
88,38486,1
88,62181,1
88,67565,1
88,75435,1
96,227,1
97,97,3
97,108,1
97,326,1
97,511,1
97,723,2
97,812,1
97,1151,1
97,1266,1
97,4765,1
97,4766,1
97,5243,1
97,5250,2
97,5354,1
97,6640,1
97,8943,1
97,10241,1
97,11061,1
97,11097,1
97,13517,1
97,13805,1
97,14117,1
97,14360,1
97,14560,1
97,15086,1
97,15122,1
97,15363,1
97,15376,1
97,16027,1
97,16213,1
97,16399,1
97,16845,1
97,17020,1
97,17290,1
97,21962,1
97,24305,1
97,24391,1
97,24830,1
97,25339,1
97,25984,1
97,26768,1
97,28291,1
97,28461,1
97,28514,1
97,29095,1
97,29400,1
97,31219,1
97,31514,1
97,31526,1
97,32779,1
97,32789,1
97,33213,1
97,33459,1
97,34081,1
97,34185,2
97,35517,1
97,35645,1
97,35880,1
97,37763,1
97,38060,1
97,38725,1
97,44456,1
97,47827,1
97,50245,1
97,50769,1
97,54087,1
97,56476,1
97,57509,1
97,61498,2
97,64089,1
97,68056,1
97,70832,1
97,78935,1
97,83482,1
113,454,1
113,463,1
113,869,1
116,227,1
116,17341,1
118,33258,1
122,56,1
122,170,1
122,554,1
122,673,1
122,1051,1
122,2477,1
122,3083,1
122,5246,1
122,5250,1
122,6591,1
122,14109,1
122,15975,1
122,23614,1
122,25174,1
122,26755,1
122,27573,1
122,35644,1
122,49638,1
122,53382,1
122,58549,1
122,64567,1
131,16590,1
133,676,1
133,5250,1
133,14360,1
133,28192,1
133,31446,1
133,33213,2
134,146,1
136,136,1
136,146,1
136,1427,1
136,2432,1
136,2452,1
136,2583,1
136,2889,1
136,5173,1
136,5224,1
136,8413,1
136,13123,1
136,16027,1
157,227,1
157,673,1
157,736,1
157,1131,1
157,1427,1
157,2452,1
157,2781,1
157,5250,1
157,6408,1
157,15106,1
157,17531,1
157,18973,1
157,32702,1
158,227,1
158,808,1
158,921,1
158,5250,1
158,6408,1
158,8413,1
158,13011,1
158,14109,2
158,14293,1
158,15058,1
158,16027,1
158,16338,1
158,16611,1
158,17010,1
158,18481,1
158,23427,1
158,27447,1
158,62179,1
158,62389,1
173,56,1
173,92,1
173,921,1
173,1048,1
173,1369,1
173,2432,1
173,3051,1
173,3421,1
173,5170,1
173,5250,1
173,11097,1
173,13023,1
173,70169,1
179,801,1
179,5250,1
179,23579,1
192,192,1
192,723,1
192,961,1
192,2757,1
192,15738,1
192,35436,1
199,2452,1
199,2534,1
201,10620,1
201,14399,1
201,50132,1
201,63315,1
201,78935,1
201,79049,1
212,82502,1
227,56,1
227,84,1
227,97,1
227,136,1
227,157,1
227,225,1
227,227,2
227,323,1
227,326,1
227,359,1
227,386,1
227,454,1
227,463,1
227,478,1
227,494,1
227,525,1
227,536,1
227,550,1
227,723,1
227,736,1
227,780,1
227,836,1
227,869,1
227,891,1
227,906,1
227,935,1
227,960,1
227,2432,1
227,2452,1
227,2455,1
227,2481,1
227,2580,1
227,2699,1
227,2902,1
227,2954,1
227,2980,1
227,3132,1
227,3209,1
227,3608,1
227,3610,1
227,5005,1
227,5115,1
227,5123,1
227,5243,1
227,5250,1
227,6396,1
227,6529,1
227,6557,1
227,6576,1
227,6640,1
227,7705,1
227,7950,1
227,7981,1
227,8069,1
227,8085,1
227,8106,1
227,8413,1
227,8432,1
227,8472,1
227,8540,1
227,8570,1
227,8809,1
227,9084,1
227,9140,1
227,9194,1
227,9675,1
227,9738,1
227,10542,1
227,10834,1
227,11097,1
227,14045,1
227,14588,1
227,14713,1
227,14863,1
227,14890,1
227,14994,1
227,15071,1
227,15512,1
227,16027,1
227,16083,1
227,16213,1
227,16680,1
227,16737,1
227,21513,1
227,21537,1
227,21924,1
227,23803,1
227,24463,1
227,24620,1
227,24733,1
227,25288,1
227,25425,1
227,25571,1
227,25659,1
227,26626,1
227,28258,1
227,30507,1
227,30617,1
227,31219,1
227,34096,1
227,35569,1
227,37286,1
227,37536,1
227,38757,1
227,45701,1
227,49226,1
227,49503,1
227,50195,1
227,50755,1
227,58324,1
227,58787,1
227,61345,1
227,61396,1
227,82566,1
227,84974,1
236,63053,1
250,159,1
250,320,1
250,399,1
250,4815,1
250,5246,1
250,5250,1
250,15361,1
273,146,1
275,555,1
275,1354,1
289,2452,1
295,6391,1
295,27142,1
295,63505,1
295,77470,1
303,303,1
303,3132,1
303,5243,1
303,5374,1
322,569,1
322,723,1
322,13220,1
322,14109,1
322,16027,1
322,18077,1
378,13942,1
378,14703,1
378,40856,1
403,97,1
403,723,1
403,1018,1
403,1353,1
403,17020,1
418,8846,1
426,113,1
426,723,1
426,1151,1
426,2452,1
426,3163,1
426,3470,1
426,4916,1
426,6557,1
426,8175,1
426,8298,1
426,8380,1
426,8852,1
426,15004,1
426,23620,1
426,24660,1
426,26755,1
426,34329,1
434,53,1
434,292,1
434,434,1
434,456,1
434,723,1
434,736,1
434,769,1
434,1010,1
434,1021,1
434,1369,1
434,2467,1
434,3370,1
434,3375,1
434,6408,1
434,6557,1
434,6567,1
434,8286,1
434,9812,1
434,10640,1
434,11097,1
434,13123,1
434,13843,1
434,14736,1
434,17778,1
434,21959,1
434,26515,1
434,26741,1
434,27520,1
434,27685,1
434,27823,1
434,28556,1
434,31219,1
434,47701,1
434,62703,1
456,544,1
456,562,1
456,629,1
456,1156,1
456,2461,1
456,13033,1
456,13220,1
456,14122,1
456,17633,1
456,23325,1
456,24972,1
456,27325,1
456,37099,1
474,1156,1
474,8501,1
474,15996,1
474,18423,1
474,26457,1
496,3185,1
496,10273,1
534,723,1
534,5115,1
534,7821,1
555,555,1
555,723,1
555,5250,1
555,6478,1
588,1151,1
588,14736,1
588,17368,1
588,56699,1
663,97,1
663,433,1
663,554,1
663,587,1
663,743,1
663,782,1
663,891,1
663,935,1
663,961,1
663,1083,1
663,1103,1
663,1385,1
663,2452,1
663,6422,1
663,6637,1
663,8384,1
663,15197,1
663,17212,1
663,17746,1
663,23305,1
663,33648,1
663,49226,1
684,17052,1
684,25035,1
684,35537,1
684,45973,1
691,5246,1
721,736,1
721,883,1
721,1097,1
721,3317,1
721,4742,1
721,5242,1
721,8080,1
721,8228,1
721,8237,1
721,8413,1
721,8954,1
721,9121,1
721,11061,1
721,13123,1
721,13395,1
721,13694,1
721,14265,1
721,16027,1
721,16866,1
721,17386,1
721,24359,1
721,24510,1
721,25584,1
721,25757,1
721,26755,1
721,27000,1
721,27013,1
721,27016,1
721,28021,1
721,30492,1
721,32402,1
721,32857,1
721,33398,1
721,33827,1
721,37608,1
721,45701,1
721,51094,1
721,64465,1
725,3132,1
728,802,1
728,1085,1
728,2452,1
728,2544,1
728,8538,1
728,29958,1
728,41907,1
728,51775,1
728,59491,1
728,62739,1
754,32381,1
793,723,1
793,813,1
793,1266,1
793,2724,1
793,3472,1
793,5250,1
793,8251,1
793,9805,1
793,10273,1
793,10464,1
793,12210,1
793,13901,2
793,14326,1
793,14671,1
793,15292,1
793,15837,1
793,16338,1
793,16510,1
793,16680,1
793,16982,1
793,17280,1
793,17284,1
793,17557,1
793,20429,1
793,20589,1
793,20614,1
793,23844,1
793,27967,1
793,29767,1
793,31219,2
793,32843,1
793,33338,1
793,33377,1
793,33424,1
793,34302,1
793,34334,1
793,34345,1
793,35459,1
793,41260,1
793,44243,1
793,47771,1
793,50029,1
793,54289,1
793,56692,1
793,57688,1
793,61247,1
793,61377,1
793,63714,1
793,67321,1
793,80734,1
793,82781,1
793,83329,1
793,83599,1
793,84560,1
793,84641,1
793,85028,1
802,26,1
802,97,1
802,633,1
802,723,1
802,1156,1
802,6518,1
802,10640,1
802,11097,1
802,16345,1
802,30507,1
802,36975,1
802,61445,1
836,723,1
836,1151,1
836,1387,1
836,2461,1
836,5250,1
836,8413,1
836,8570,1
836,9245,1
836,16027,1
836,23283,1
836,23471,1
836,40853,1
836,63710,1
837,837,1
838,3241,1
838,5250,1
838,9091,1
838,14896,1
839,6529,1
843,843,4
843,2455,2
843,3044,1
843,11097,1
