OwnerUserId,UserId
13348,13413
12798,13413
13648,5177
5177,9420
5177,5177
13648,9420
12527,5177
5091,9123
2452,12527
2452,2452
13648,13648
12363,13348
13623,9856
12363,12363
12363,13348
10620,8630
12363,12363
9771,11097
10232,836
10232,10232
4978,13719
13496,10620
13735,13735
12473,13285
,13735
,
,13735
13680,13633
13406,5224
12384,7848
12438,6550
12384,836
12384,12384
13767,13767
13496,619
12473,13285
12473,12473
12473,13285
12473,12473
12473,12473
12473,13285
12473,12473
12473,13285
12473,13413
12473,12473
12473,12473
12473,13413
3024,12473
12473,13767
13155,12473
12473,12473
13767,471
12473,13767
12473,843
13775,381
12473,13767
12473,12473
12473,13767
12473,13767
5303,13754
12473,12473
13775,13775
12438,12438
12580,13775
12580,12580
9131,11097
12580,13786
13775,13786
9131,9131
12611,13285
10663,3024
13818,8820
13818,13818
12533,924
12533,
12898,7848
,13778
12611,3151
12898,13834
10094,
2723,
13155,381
2723,2723
2723,
5265,
3054,2723
13787,13709
13770,
13818,13754
,7848
,
10094,9420
2723,10517
12798,12798
5091,11097
5091,5091
5091,11097
5091,5091
10549,13285
5091,5177
11097,13132
12626,13132
11097,11097
12473,13884
13881,11136
12626,12626
13891,5177
13891,13891
12473,5091
13891,12473
13881,13881
13896,13881
13891,13891
13891,12473
13915,12473
10427,12473
13896,13896
13132,12527
906,12473
97,710
13943,13285
9768,9123
13943,9123
9768,9768
12521,9771
9768,13285
10814,13778
97,13778
10814,10814
97,97
12527,10181
12527,12527
13943,13943
10814,10814
10814,13778
12473,13562
12473,12473
12473,13562
13296,13915
10814,13915
13296,13296
13915,13285
10814,10814
12473,12473
10814,12909
10814,10814
10814,10814
10814,12909
10814,12909
12603,10814
12603,12603
13915,471
13915,13285
13915,471
9914,12626
12909,12603
12603,924
413,14009
12909,924
13978,8878
413,7848
12603,12603
924,12603
12909,12909
12909,12909
843,11097
8842,471
12626,3024
13978,13978
13915,13915
3459,14031
21,14031
13915,13285
12626,12626
10620,10683
14006,10683
413,2723
12275,2723
