owneruserid,userid,NbrOfVotes
-1,0,1
0,0,202
5,0,10
9,0,54
11,0,4
14,0,117
21,0,210
22,0,14
24,0,5
26,0,149
34,0,3
36,0,19
43,0,11
51,0,5
53,0,20
59,0,71
62,0,36
63,0,15
64,0,7
66,0,18
70,0,7
71,0,5
75,0,20
77,0,6
82,0,15
84,0,244
88,0,36
90,0,15
92,0,52
95,0,16
96,0,13
97,0,221
102,0,2
104,0,13
106,0,4
108,0,192
113,0,22
115,0,38
116,0,20
118,0,45
119,0,13
122,0,109
127,0,3
131,0,6
132,0,5
133,0,33
134,0,12
136,0,35
151,0,9
154,0,18
156,0,15
157,0,25
158,0,89
159,0,8
168,0,9
172,0,84
173,0,38
178,0,63
179,0,9
180,0,7
182,0,11
189,0,10
192,0,14
194,0,1
199,0,25
200,0,16
201,0,42
208,0,8
212,0,9
227,0,130
229,0,14
237,0,4
241,0,6
245,0,2
249,0,3
250,0,51
262,0,9
265,0,2
273,0,11
275,0,7
278,0,4
283,0,8
289,0,21
290,0,10
292,0,2
295,0,22
303,0,13
322,0,39
325,0,2
339,0,12
358,0,8
366,0,3
375,0,21
378,0,8
381,0,414
386,0,14
387,0,4
403,0,18
404,0,5
406,0,15
413,0,6
418,0,30
426,0,29
430,0,1
432,0,6
434,0,192
451,0,3
454,0,19
456,0,34
462,0,20
463,0,5
464,0,3
466,0,1
471,0,69
474,0,15
478,0,37
480,0,3
484,0,3
490,0,3
496,0,11
498,0,1
508,0,13
514,0,76
515,0,8
518,0,8
524,0,2
525,0,11
531,0,6
534,0,8
536,0,4
543,0,3
548,0,222
552,0,1
553,0,10
554,0,21
555,0,16
560,0,6
571,0,2
574,0,8
587,0,28
588,0,8
599,0,3
600,0,5
602,0,6
609,0,81
638,0,9
645,0,3
655,0,3
663,0,18
676,0,37
680,0,2
684,0,133
686,0,3
691,0,8
695,0,5
700,0,5
708,0,1
710,0,11
713,0,2
721,0,50
723,0,9
725,0,8
728,0,23
729,0,2
733,0,8
735,0,15
737,0,10
743,0,13
754,0,5
776,0,1
780,0,58
786,0,1
791,0,22
793,0,104
797,0,6
801,0,3
802,0,37
807,0,1
810,0,1
811,0,2
816,0,88
819,0,63
836,0,607
837,0,1
838,0,13
839,0,7
842,0,9
843,0,185
846,0,18
847,0,60
848,0,1
860,0,65
867,0,2
870,0,5
872,0,6
880,0,1
883,0,1
886,0,14
889,0,8
890,0,78
895,0,32
900,0,6
901,0,2
906,0,30
908,0,4
913,0,11
917,0,11
921,0,6
922,0,19
924,0,220
941,0,41
944,0,3
947,0,26
953,0,6
957,0,4
960,0,6
964,0,39
968,0,3
974,0,5
979,0,22
982,0,7
984,0,78
985,0,4
986,0,8
988,0,2
989,0,104
994,0,6
1003,0,25
1004,0,6
1011,0,60
1015,0,4
1018,0,2
1021,0,11
1028,0,5
1029,0,8
1047,0,12
1048,0,9
1057,0,1
1077,0,29
1085,0,16
1093,0,8
1096,0,1
1097,0,39
1107,0,6
1111,0,3
1117,0,10
1125,0,6
1127,0,22
1131,0,18
1133,0,9
1138,0,33
1147,0,13
1151,0,41
1154,0,2
1155,0,25
1156,0,18
1162,0,5
1163,0,11
1165,0,5
1174,0,4
1176,0,1
1192,0,6
1193,0,17
1206,0,4
1207,0,3
1208,0,7
1220,0,2
1223,0,5
1224,0,12
1235,0,8
1237,0,15
1240,0,4
1241,0,13
1242,0,11
1244,0,7
1247,0,1
1256,0,36
1264,0,1
1271,0,6
1272,0,16
1273,0,3
1279,0,147
1281,0,8
1283,0,2
1284,0,1
1289,0,6
1300,0,5
1301,0,32
1306,0,6
1314,0,8
1315,0,14
1319,0,4
1329,0,4
1330,0,149
1334,0,2
1350,0,8
1355,0,3
1360,0,2
1367,0,22
1368,0,6
1376,0,2
1379,0,2
1384,0,2
1386,0,3
1387,0,10
1390,0,13
1399,0,6
1406,0,25
1409,0,1
1424,0,1
1426,0,19
2433,0,20
2443,0,3
2452,0,313
2454,0,2
2458,0,4
2459,0,23
2471,0,33
2475,0,4
2481,0,2
2487,0,13
2489,0,26
2504,0,9
2507,0,15
2511,0,9
2513,0,26
2515,0,29
2522,0,10
2533,0,22
2544,0,12
2567,0,5
2573,0,45
2574,0,8
2575,0,6
2576,0,40
2599,0,1
2600,0,2
2604,0,6
2614,0,7
2643,0,18
2647,0,11
2648,0,4
2653,0,27
2661,0,27
2666,0,3
2668,0,14
2673,0,1
2699,0,7
2702,0,4
2711,0,2
2723,0,85
2724,0,10
2725,0,13
2726,0,6
2728,0,2
2742,0,6
2744,0,5
2750,0,18
2756,0,3
2781,0,9
2785,0,4
2787,0,4
2790,0,11
2792,0,4
2798,0,5
2817,0,6
2830,0,11
2840,0,1
2841,0,8
2850,0,3
2853,0,33
2854,0,18
2861,0,18
2863,0,4
2869,0,2
2873,0,2
2878,0,4
2883,0,2
2893,0,9
2912,0,1
2913,0,4
2916,0,16
2920,0,15
2923,0,1
2928,0,2
2932,0,55
2948,0,1
2949,0,2
2958,0,12
2961,0,26
2968,0,1
2969,0,15
2972,0,5
2975,0,6
2978,0,2
2979,0,14
2981,0,1
2985,0,1
2987,0,2
2997,0,34
3024,0,27
3030,0,2
3044,0,28
3047,0,8
3050,0,4
3051,0,4
3052,0,8
3053,0,2
3054,0,16
3055,0,5
3057,0,7
3058,0,3
3064,0,8
3068,0,4
3070,0,12
3077,0,3
3083,0,2
3085,0,1
3101,0,1
3108,0,6
3128,0,1
3132,0,7
3133,0,1
3151,0,27
3152,0,4
3159,0,14
3167,0,20
3169,0,4
3178,0,1
3179,0,1
3181,0,1
3203,0,3
3211,0,6
3213,0,3
3215,0,6
3216,0,1
3223,0,5
3232,0,2
3244,0,2
3250,0,10
3255,0,4
3259,0,1
3263,0,6
3279,0,2
3281,0,13
3283,0,2
3284,0,5
3289,0,4
3294,0,13
3299,0,2
3314,0,31
3315,0,2
3317,0,1
3321,0,1
3325,0,2
3326,0,4
3327,0,2
3328,0,3
3336,0,2
3343,0,5
3346,0,3
3347,0,3
3357,0,1
3360,0,11
3361,0,4
3377,0,2
3390,0,3
3397,0,2
3400,0,2
3411,0,2
3417,0,1
3430,0,17
3433,0,5
3436,0,7
3439,0,2
3443,0,2
3445,0,1
3457,0,3
3459,0,5
3465,0,1
3466,0,44
3473,0,1
3482,0,2
3498,0,8
3499,0,1
3503,0,12
3504,0,5
3506,0,3
3507,0,3
3510,0,3
3513,0,4
3514,0,4
3526,0,1
3530,0,4
3539,0,2
3540,0,6
3546,0,2
3550,0,6
3551,0,2
3556,0,1
3568,0,7
3577,0,2
3580,0,2
3583,0,6
3587,0,4
3591,0,15
3592,0,4
3596,0,3
3598,0,1
3599,0,1
3605,0,3
3609,0,8
3613,0,2
3615,0,18
4618,0,3
4619,0,10
4620,0,4
4621,0,36
4622,0,1
4637,0,16
4647,0,19
4662,0,5
4668,0,2
4676,0,6
4679,0,7
4683,0,31
4686,0,3
4688,0,2
4692,0,1
4695,0,1
4697,0,3
4705,0,3
4711,0,5
4717,0,9
4719,0,15
4724,0,7
4730,0,8
4736,0,6
4737,0,6
4760,0,5
4767,0,3
4770,0,1
4774,0,6
4776,0,3
4794,0,2
4800,0,3
4804,0,3
4808,0,19
4811,0,2
4813,0,3
4815,0,10
4821,0,2
4824,0,4
4836,0,5
4839,0,2
4841,0,2
4842,0,1
4852,0,1
4853,0,6
4855,0,1
4859,0,5
4879,0,1
4881,0,3
4887,0,3
4889,0,1
4897,0,3
4907,0,1
4910,0,2
4933,0,6
4947,0,4
4950,0,2
4953,0,1
4956,0,2
4967,0,3
4968,0,5
4973,0,1
4974,0,2
4978,0,8
4993,0,1
4999,0,2
5004,0,2
5012,0,1
5019,0,3
5021,0,1
5023,0,3
5027,0,3
5029,0,6
5038,0,1
5041,0,36
5042,0,2
5043,0,35
5044,0,3
5053,0,3
5055,0,4
5066,0,1
5073,0,1
5075,0,2
5077,0,1
5079,0,2
5083,0,1
5086,0,1
5091,0,73
5095,0,3
5099,0,4
5100,0,1
5103,0,3
5110,0,7
5113,0,4
5126,0,1
5132,0,4
5138,0,8
5143,0,65
5144,0,11
5153,0,2
5161,0,1
5165,0,4
5170,0,1
5172,0,7
5175,0,1
5177,0,5
5179,0,5
5180,0,2
5182,0,2
5184,0,12
5185,0,1
5198,0,1
5199,0,10
5200,0,4
5203,0,11
5211,0,28
5214,0,1
5219,0,4
5220,0,2
5224,0,7
5227,0,3
5241,0,4
5246,0,7
5247,0,10
5249,0,3
5255,0,1
5257,0,7
5263,0,4
5265,0,2
5266,0,6
5268,0,9
5273,0,3
5279,0,20
5280,0,3
5283,0,5
5290,0,4
5297,0,2
5298,0,1
5301,0,3
5303,0,7
5306,0,5
5310,0,2
5314,0,2
5316,0,8
5332,0,1
5342,0,14
5356,0,1
5369,0,2
5380,0,3
6385,0,14
6387,0,7
6391,0,31
6396,0,10
6403,0,15
6412,0,2
6418,0,2
6419,0,3
6431,0,2
6433,0,2
6451,0,4
6458,0,3
6465,0,8
6469,0,3
6477,0,1
6478,0,25
6488,0,1
6496,0,6
6506,0,1
6514,0,4
6523,0,1
6529,0,2
6534,0,1
6536,0,1
6550,0,17
6554,0,4
6558,0,2
6559,0,2
6567,0,4
6568,0,3
6571,0,1
6572,0,1
6576,0,1
6597,0,1
6598,0,1
6602,0,1
6606,0,2
6608,0,4
6611,0,3
6619,0,1
6644,0,3
6646,0,3
6648,0,11
6660,0,2
6667,0,1
6669,0,1
6672,0,2
6682,0,1
6683,0,2
6685,0,4
7702,0,2
7707,0,1
7713,0,1
7714,0,2
7715,0,4
7719,0,4
7720,0,9
7722,0,1
7723,0,1
7738,0,8
7739,0,4
7750,0,3
7763,0,5
7786,0,9
7807,0,2
7809,0,3
7811,0,1
7812,0,7
7818,0,1
7829,0,4
7830,0,2
7842,0,7
7848,0,17
7857,0,1
7867,0,3
7873,0,7
7887,0,2
7909,0,2
7919,0,3
7922,0,4
7923,0,16
7926,0,3
7944,0,5
7950,0,8
7952,0,1
7960,0,4
7961,0,3
7966,0,21
7969,0,6
7972,0,4
7977,0,11
7979,0,5
7980,0,8
7982,0,4
7999,0,6
8003,0,4
8005,0,2
8009,0,2
8013,0,21
8016,0,4
8017,0,2
8021,0,2
8030,0,9
8037,0,2
8041,0,23
8059,0,1
8065,0,8
8073,0,3
8074,0,2
8075,0,2
8076,0,2
8084,0,3
8085,0,9
8088,0,4
8102,0,2
8105,0,2
8110,0,7
8113,0,7
8123,0,1
8126,0,1
8145,0,5
8152,0,6
8158,0,4
8191,0,5
8200,0,3
8206,0,13
8207,0,2
8214,0,2
8221,0,1
8232,0,2
8236,0,2
8237,0,1
8240,0,1
8249,0,2
8255,0,2
8262,0,1
8273,0,2
8275,0,1
8278,0,3
8284,0,4
8310,0,2
8313,0,1
8318,0,4
8320,0,19
8335,0,3
8337,0,2
8338,0,4
8344,0,3
8354,0,1
8357,0,2
8368,0,1
8370,0,20
8373,0,2
8376,0,3
8386,0,1
8389,0,2
8392,0,1
8395,0,3
8409,0,32
8410,0,1
8412,0,2
8417,0,2
8432,0,22
8433,0,1
8462,0,9
8465,0,19
8478,0,10
8482,0,1
8488,0,3
8491,0,5
8498,0,4
8501,0,4
8505,0,5
8516,0,1
8517,0,10
8524,0,4
8526,0,1
8528,0,1
8540,0,2
8547,0,3
8560,0,62
8597,0,3
8609,0,1
8610,0,1
8626,0,1
8643,0,8
8644,0,1
8650,0,4
8664,0,4
8681,0,1
8686,0,1
8689,0,1
8710,0,5
8714,0,1
8723,0,2
8729,0,2
8734,0,3
8751,0,4
8752,0,11
8754,0,2
8762,0,4
8774,0,25
8777,0,1
8784,0,1
8792,0,9
8800,0,4
8819,0,1
8820,0,576
8830,0,2
8841,0,2
8842,0,4
8843,0,5
8848,0,1
8849,0,1
8860,0,4
8869,0,2
8878,0,121
8938,0,6
8944,0,22
8948,0,1
8953,0,2
8960,0,10
8969,0,1
8986,0,1
8995,0,2
9003,0,2
9011,0,6
9015,0,2
