UserId;OwnerUserId;NbrOfComments
13413;13348;4
13413;12798;2
5177;13648;2
9420;5177;2
5177;5177;9
9420;13648;2
5177;12527;2
9123;5091;2
12527;2452;2
2452;2452;90
13648;13648;2
13348;12363;4
9856;13623;2
12363;12363;12
8630;10620;2
11097;9771;2
836;10232;2
10232;10232;2
13719;4978;2
10620;13496;2
13735;13735;2
13285;12473;10
13735;;4
;;99
13633;13680;2
5224;13406;2
7848;12384;2
6550;12438;2
836;12384;2
12384;12384;11
13767;13767;2
619;13496;2
12473;12473;70
13413;12473;4
12473;3024;2
13767;12473;10
12473;13155;2
471;13767;2
843;12473;2
381;13775;2
13754;5303;2
13775;13775;2
12438;12438;6
13775;12580;2
12580;12580;4
11097;9131;2
13786;12580;2
13786;13775;2
9131;9131;2
13285;12611;2
3024;10663;2
8820;13818;6
13818;13818;2
924;12533;2
;12533;4
7848;12898;2
13778;;2
3151;12611;2
13834;12898;2
;10094;2
;2723;4
381;13155;2
2723;2723;24
;5265;2
2723;3054;2
13709;13787;2
;13770;2
13754;13818;2
7848;;2
9420;10094;2
10517;2723;3
12798;12798;3
11097;5091;12
5091;5091;32
13285;10549;2
5177;5091;2
13132;11097;4
13132;12626;2
11097;11097;87
13884;12473;2
11136;13881;2
12626;12626;4
5177;13891;2
13891;13891;9
5091;12473;2
12473;13891;4
13881;13881;2
13881;13896;2
12473;13915;2
12473;10427;2
13896;13896;2
12527;13132;2
12473;906;2
710;97;2
13285;13943;2
9123;9768;2
9123;13943;2
9768;9768;2
9771;12521;2
13285;9768;2
13778;10814;4
13778;97;2
10814;10814;33
97;97;13
10181;12527;3
12527;12527;7
13943;13943;2
13562;12473;10
13915;13296;2
13915;10814;2
13296;13296;2
13285;13915;6
12909;10814;6
10814;12603;2
12603;12603;6
471;13915;6
12626;9914;2
12603;12909;2
924;12603;2
14009;413;2
924;12909;2
8878;13978;2
7848;413;2
12603;924;4
12909;12909;11
11097;843;6
471;8842;2
3024;12626;2
13978;13978;2
