TagId;Tag;NbrOfTags
39;40;1
40;39;1
21;22;2
21;23;2
22;21;2
22;23;1
23;21;2
23;22;1
21;24;4
24;21;4
24;26;42
26;24;42
23;24;7
24;23;7
2;168;264
168;2;264
21;43;2
43;21;2
1;29;1
1;65;1
29;1;1
29;65;3
65;1;1
65;29;3
36;37;4
37;36;4
35;367;10
367;35;10
2;45;36
2;46;623
45;2;36
45;46;11
46;2;623
46;45;11
47;50;29
47;51;20
50;47;29
50;51;44
51;47;20
51;50;44
47;48;26
48;47;26
45;54;13
45;136;8
54;45;13
54;136;78
136;45;8
136;54;78
23;55;15
23;56;2
55;23;15
55;56;1
56;23;2
56;55;1
59;60;2
59;62;1
60;59;2
60;62;1
62;59;1
62;60;1
40;61;5
61;40;5
2;27;186
2;39;4
27;2;186
27;39;5
39;2;4
39;27;5
2;54;153
27;54;21
54;2;153
54;27;21
46;64;273
46;65;3
64;46;273
64;65;2
65;46;3
65;64;2
66;67;1
67;66;1
71;72;1
71;73;1
71;74;9
72;71;1
72;73;1
72;74;13
73;71;1
73;72;1
73;74;11
74;71;9
74;72;13
74;73;11
76;77;98
76;78;5
77;76;98
77;78;37
78;76;5
78;77;37
24;40;2
24;65;4
24;80;8
40;24;2
40;65;1
40;80;1
65;24;4
65;40;1
65;80;4
80;24;8
80;40;1
80;65;4
2;77;645
77;2;645
2;64;77
2;128;322
46;128;385
64;2;77
64;128;90
128;2;322
128;46;385
128;64;90
26;47;12
26;66;1
47;26;12
47;66;1
66;26;1
66;47;1
23;29;6
29;23;6
46;74;69
74;46;69
104;105;1
105;104;1
2;214;2
214;2;2
46;77;137
77;46;137
2;81;445
46;81;98
81;2;445
81;46;98
24;398;3
398;24;3
2;24;241
24;2;241
24;46;101
46;24;101
2;115;40
2;367;103
115;2;40
115;367;6
367;2;103
367;115;6
1;27;2
1;39;3
27;1;2
39;1;3
108;110;1
110;108;1
76;113;20
76;114;17
77;113;68
77;114;60
78;113;3
78;114;2
113;76;20
113;77;68
113;78;3
113;114;19
114;76;17
114;77;60
114;78;2
114;113;19
102;114;10
114;102;10
2;72;182
72;2;182
2;80;76
2;194;880
80;2;76
80;81;19
80;194;37
81;80;19
