UserId;OwnerUserId;NbrOfUpvotes
;29428;3
;39442;3
;18189;2
;9988;1
;32220;9
;13727;68
;26854;1
;37626;5
;26562;64
;30292;5
;924;220
;27250;30
;947;26
;8820;576
;14578;80
;41487;2
;15766;18
;3360;11
;21254;16
;4621;36
;8145;5
;29109;4
;41482;3
;14904;215
;41240;1
;23679;7
;15664;14
;2452;313
;26629;4
;14360;19
;29451;3
;548;222
;37776;7
;8432;22
;27421;12
;8944;22
;1301;32
;32901;5
;41467;1
;836;607
;8498;4
;1256;36
;9420;157
;2513;26
;173;38
;41509;3
;38892;27
;41414;1
;41514;1
;25157;9
;31639;1
;22012;38
;15412;86
;2515;29
;30335;8
;41525;11
;30425;10
;31270;1
;27002;1
;20544;14
;33407;1
;39356;1
;15527;78
;14675;177
;38339;23
;32367;2
;41454;1
;38887;20
;41538;2
;41535;1
;24162;9
;2997;34
;33941;1
;28599;4
;41490;2
;33386;30
;9518;18
;37475;3
;28175;172
;28628;87
;16683;7
;381;414
;9793;6
;17208;56
;9123;85
;16853;64
;20589;1
;38506;7
;41557;4
;28965;12
;18375;11
;29781;9
;14519;74
;2723;85
;30507;6
;25226;1
;41580;1
;2932;55
;37571;6
;29473;2
;14955;1
;39569;1
;13132;8
;7848;17
;13709;1
;13772;3
;13623;1
;3044;28
;10663;9
;3024;27
;13120;3
;7980;8
;434;192
;2781;9
;11097;311
;12626;4
;13176;2
;9576;8
;2854;18
;2969;15
;5091;73
;13787;1
;12533;5
;1406;25
;8878;121
;10094;10
;26;149
;8478;10
;12473;144
;10620;34
;;202
;12611;1
;3054;16
;9893;2
;11072;1
;8729;2
;10549;1
;13889;3
;13905;2
;12876;17
;157;25
;609;81
;84;244
;13915;11
;13917;3
;12527;48
;10683;6
;13562;10
;14;117
;97;221
;13881;6
;13919;7
;10148;2
;5303;7
;8073;3
;10181;5
;1097;39
;989;104
;684;133
;13778;4
;2643;18
;13955;1
;10814;8
;12501;1
;8751;4
;462;20
;1077;29
;843;185
;12275;2
;227;130
;59;71
;118;45
;295;22
;508;13
;514;76
;290;10
;43;11
;5279;20
;454;19
;2699;7
;9768;11
;3609;8
;3514;4
;7842;7
;9370;7
;75;20
;8085;9
;2522;10
;1390;13
;13959;5
;9;54
;122;109
;172;84
;890;78
;2853;33
;12909;8
;8041;23
;9634;8
;5184;12
;90;15
;13978;3
;13296;2
;14009;3
;413;6
;7720;9
;108;192
;8843;5
;9966;10
;14031;1
;554;21
;7999;6
;14029;8
;14030;4
;14044;7
;14048;3
;13341;3
;2961;26
;158;89
;14053;2
;1279;147
;14059;7
;14050;1
;13481;10
;2471;33
;11021;1
;553;10
;229;14
;847;60
;12378;13
;10102;1
;12363;14
;3466;44
;5179;5
;12603;13
;10517;24
;5143;65
;14006;16
;1117;10
;2668;14
;2489;26
;791;22
;7966;21
;8113;7
;456;34
;743;13
;602;6
;6534;1
;8752;11
;199;25
;418;30
;11122;1
;13853;1
;14091;2
;3314;31
;3250;10
;21;210
;3211;6
;3430;17
;1306;6
;10465;2
;11110;2
;14112;7
;13447;1
;12206;39
;3159;14
;10694;3
;14137;4
;12776;5
;5316;8
;12515;124
;8409;32
;10938;14
;13680;3
;12469;3
;14154;4
;9035;9
;9540;3
;10171;3
;14167;9
;10131;2
;9941;6
;4719;15
;816;88
;8762;4
;5224;7
;9225;5
;14200;18
;4950;2
;3151;27
;378;8
;10816;10
;11074;7
;10384;7
;9314;13
;13596;4
;4737;6
;13450;23
;9587;3
;552;1
;842;9
;496;11
;2575;6
;4647;19
;11124;11
;3327;2
;5247;10
;8284;4
;12963;2
;721;50
;13498;1
;10391;2
;10470;4
;10479;2
;5043;35
;14218;1
;13583;1
;13390;4
;9663;7
;8482;1
;2576;40
;13274;1
;14231;1
;201;42
;1151;41
;6396;10
;8505;5
;14240;5
;10879;13
;11141;14
;11054;4
;13578;7
;13887;1
;10416;3
;178;63
;12335;2
;9388;5
;182;11
;525;11
;14023;1
;11077;4
;10560;4
;3030;2
;13891;18
;9052;2
;2725;13
;14258;3
;10846;5
;10884;3
;10881;1
;13413;47
;13574;2
;14267;1
;1138;33
;14268;1
;2648;4
;4619;10
;10327;13
;3550;6
;13593;3
;12356;3
;14293;5
;13123;11
;14294;1
;13543;2
;14327;1
;12490;9
;8320;19
;14339;4
;14341;2
;14340;3
;1319;4
;13000;1
;12798;9
;14320;9
;8774;25
;14357;17
;12801;2
;3457;3
;5342;14
;9943;31
;819;63
;10352;1
;14332;3
;13285;4
;12219;1
;14383;3
;2790;11
;14368;3
;7923;16
;12438;6
;13875;2
;14391;2
;14392;6
;14393;6
;14397;1
;262;9
;11029;1
;8088;4
;14381;2
;588;8
;12411;7
;14343;3
;1127;22
;14434;12
;8938;6
;14427;8
;14450;7
;14445;2
;14472;2
;9445;2
;14384;10
;12983;11
;13023;121
;14463;7
;12747;1
;13754;2
;13155;7
;14495;2
;12343;4
;13625;9
;13770;2
;14504;1
;8953;2
;14372;27
;12580;20
;7873;7
;14353;2
;14535;7
;14531;2
;14525;4
;3215;6
;10396;2
;136;35
;14556;4
;8110;7
;2433;20
;62;36
;10983;2
;5211;28
;478;37
;2567;5
;13896;4
;12806;1
;1155;25
;14885;8
;14533;2
;13736;47
;10446;2
;14596;1
;14586;19
;906;30
;8016;4
;984;78
;322;39
;780;58
;426;29
;92;52
;3294;13
;4808;19
;4730;8
;6391;31
;5203;11
;4933;6
;14604;7
;708;1
;8206;13
;13179;4
;12712;4
;14455;3
;1093;8
;2533;22
;14636;3
;11136;8
;838;13
;2728;2
;1237;15
;953;6
;14642;2
;12341;3
;14644;8
;9503;3
;12867;5
;14641;1
;14647;3
;802;37
;1350;8
;14656;1
;10123;2
;12189;2
;14660;4
;95;16
;14672;12
;9637;1
;9852;2
;7702;2
;941;41
;10437;1
;14667;2
;9003;2
;14673;2
;13011;2
;14681;1
;3347;3
;10024;8
;14588;10
;2981;1
;12960;1
;12931;1
;8643;8
;8465;19
;14698;2
;14694;2
;14665;6
;13100;47
;14566;4
;14674;2
;14716;2
;14715;7
;14714;1
;4811;2
;273;11
;58034;6
;50013;8
;52974;3
;68023;12
;12756;2
;27983;17
;78131;2
;50727;33
;64377;92
;75994;1
;33759;6
;69376;1
;68025;1
;69742;3
;76702;1
;47286;2
;61445;5
;13518;84
;85983;1
;18306;4
;78187;1
;80885;24
;87113;2
;82068;5
;87257;2
;18632;18
;9461;5
;24119;20
;86558;1
;60503;15
;87059;1
;40277;2
;86893;1
;71113;2
;86894;1
;84229;9
;27916;17
;5268;9
;44645;2
;9011;6
;62641;14
;83275;5
;87270;6
;358;8
;71219;18
;59553;1
;51090;1
;27129;9
;63346;2
;54395;31
;87214;2
;41968;2
;30238;4
;15250;6
;85747;1
;87284;3
;71442;30
;79588;1
;86934;1
;66029;5
;73505;2
;32288;7
;3070;12
;86182;1
;74118;2
;23240;36
;28916;1
;87274;1
;65131;25
;85232;2
;59087;5
;59951;1
;87109;2
;62938;7
;87289;2
;62846;8
;66483;1
;58433;7
;87297;1
;40949;49
;66068;1
;27844;1
;30693;2
;64876;3
;68988;1
;53582;1
;86571;1
;70031;1
;86954;1
;32884;7
;45821;3
;15064;46
;39811;8
;67328;34
;37932;9
;78392;1
;895;32
;30385;3
;87314;1
;40853;26
;46433;10
;53479;7
;15241;2
;10574;12
;46740;37
;34269;97
;67361;1
;30578;9
;84626;7
;55122;41
;14735;2
;14734;3
;14740;4
;2544;12
;3263;6
;14749;2
;14750;2
;14758;1
;14729;3
;2830;11
;6550;17
;14763;2
;7807;2
;1003;25
;9483;13
;13521;1
;13529;2
;8013;21
;10994;4
;10516;1
;13056;4
;14572;3
;14779;26
;13469;2
;14800;2
;9974;3
;543;3
;14812;3
;10894;5
;14808;1
;5053;3
;13508;10
;860;65
;793;104
;6465;8
;14852;3
;8960;10
;13103;6
;12613;4
;12290;2
;13416;1
;12384;47
;10462;35
;1367;22
;13648;1
;14898;20
;14900;1
;14906;41
;14175;5
;982;7
;11116;2
;14882;2
;797;6
;14913;26
;13392;1
;14910;2
;14909;29
;1426;19
;14925;6
;14695;4
;14934;1
;663;18
;2661;27
;2653;27
;4637;16
;63;15
;1147;13
;250;51
;96;13
;66;18
;1047;12
;14895;10
;14894;2
;14926;1
;3152;4
;14912;1
;12193;1
;14940;1
;7926;3
;7919;3
;1300;5
;14972;1
;14989;4
;4853;6
;14994;38
;10100;3
;14999;7
;15002;1
;13145;3
;15010;2
;12183;2
;15022;4
;1162;5
;15024;5
;14946;14
;12575;10
;6611;3
;10936;5
;15032;1
;12237;3
;15079;2
;15083;4
;14047;4
;15115;14
;1224;12
;1131;18
;15128;3
;14757;1
;2979;14
;12985;14
;15157;4
;15163;4
;10353;2
;15171;1
;15099;1
;15140;3
;15174;1
;15173;2
;15176;1
;13818;3
;15182;4
;15180;4
;4815;10
;15187;2
;13953;4
;12265;1
;2920;15
;15197;11
;15196;2
;15211;1
;2978;2
;12417;3
;15215;10
;2573;45
;7977;11
;15217;5
;8084;3
;8207;2
;14487;7
;15202;16
;14829;12
;15192;2
;3615;18
;9085;18
;14598;6
;964;39
;15230;7
;14789;7
;15233;3
;1330;149
;1125;6
;15244;4
;11142;4
;133;33
;2666;3
;6529;2
;14416;6
;15253;3
;15261;2
;837;1
;10245;1
;15281;1
;9197;13
;15293;1
;15303;8
;15308;3
;12650;2
;15306;1
;15311;1
;12858;11
;15315;5
;15324;4
;15325;10
;11044;33
;3167;20
;339;12
;2750;18
;14057;1
;13165;22
;88;36
;1244;7
;15348;2
;14560;15
;15356;5
;9684;2
;9448;1
;9880;1
;15373;1
;15372;6
;5138;8
;15393;1
;15398;3
;15402;11
;15408;5
;13354;1
;15410;1
;13441;2
;8152;6
;15420;2
;8030;9
;15430;7
;15361;26
;10975;1
;11146;1
;14903;1
;15469;22
;13457;7
;12882;1
;15470;2
;1193;17
;15456;1
;9670;2
;846;18
;1011;60
;15501;47
;1272;16
;10344;1
;8491;5
;11113;1
;15519;4
;480;3
;10513;1
;8969;1
;15533;26
;15148;5
;13809;25
;3433;5
;15090;5
;15552;6
;15543;6
;12184;2
;12328;1
;13384;1
;15422;1
;6451;4
;1315;14
;14390;2
;8842;4
;15536;1
;1273;3
;1399;6
;14684;19
;3498;8
;15595;3
;15599;1
;15604;8
;15609;6
;15613;16
;15626;5
;15617;8
;15631;2
;4620;4
;15620;5
;15656;12
;7738;8
;15663;3
;10584;4
;2724;10
;15686;1
;15445;3
;15638;2
;15715;3
;15720;2
;192;14
;9061;4
;15695;3
;15738;3
;10225;1
;15739;1
;15735;9
;15748;2
;5199;10
;12364;1
;6385;14
;8412;2
;9472;2
;13943;2
;13034;2
;15784;4
;15786;6
;15690;10
;9867;25
;15797;4
;15801;6
;8517;10
;518;8
;15756;2
;15790;3
;3361;4
;10523;4
;10701;2
;10365;2
;9436;1
;13106;1
;10255;2
;6608;4
;11066;2
